pointing nexp
KIDS_136p0_m0p5 3
KIDS_140p0_1p5 3
KIDS_141p0_m0p5 3
KIDS_156p0_0p5 4
KIDS_156p0_m0p5 3
KIDS_161p0_0p5 3
KIDS_162p0_m1p5 4
KIDS_163p0_m0p5 4
KIDS_165p5_2p5 4
KIDS_168p5_3p5 4
KIDS_169p0_0p5 3
KIDS_170p0_1p5 4
KIDS_172p0_0p5 4
KIDS_172p0_1p5 4
KIDS_173p0_0p5 2
KIDS_173p0_1p5 4
KIDS_174p0_m0p5 4
KIDS_174p0_m1p5 2
KIDS_175p0_0p5 4
KIDS_176p0_m0p5 4
KIDS_177p0_m0p5 4
KIDS_180p0_0p5 4
KIDS_183p5_m2p5 4
KIDS_184p0_m1p5 3
KIDS_186p5_m2p5 4
KIDS_187p0_m0p5 4
KIDS_190p0_m1p5 4
KIDS_191p5_2p5 4
KIDS_196p0_1p5 4
KIDS_199p0_m0p5 4
KIDS_214p6_m2p5 4
KIDS_218p0_0p5 3
KIDS_218p0_1p5 4
KIDS_218p0_m1p5 4
KIDS_219p6_2p5 4
KIDS_220p6_m2p5 4
KIDS_221p0_m0p5 4
KIDS_223p0_m1p5 2
KIDS_223p6_m2p5 4
KIDS_230p0_1p5 4
KIDS_230p0_m0p5 4
KIDS_236p0_m0p5 4
KIDS_237p0_1p5 4
KIDS_238p0_m0p5 4
KIDS_338p1_m30p2 3
KIDS_338p6_m33p1 4
KIDS_33p8_m31p2 4
KIDS_343p7_m31p2 4
KIDS_343p9_m30p2 4
KIDS_344p1_m29p2 3
KIDS_344p4_m34p1 4
KIDS_352p9_m33p1 2
KIDS_357p6_m33p1 4
KIDS_48p3_m30p2 3
