Tile RAmin RAmax DECmin DECmax
KIDS_4p9_m35p1 4.256756757 5.472972973 -35.6099 -34.6209
KIDS_6p1_m35p1 5.472972973 6.689189189 -35.6099 -34.6209
KIDS_7p3_m35p1 6.689189189 7.9054054055 -35.6099 -34.6209
KIDS_8p5_m35p1 7.9054054055 9.121621622 -35.6099 -34.6209
KIDS_9p7_m35p1 9.121621622 10.337837838 -35.6099 -34.6209
KIDS_10p9_m35p1 10.337837838 11.554054054 -35.6099 -34.6209
KIDS_12p2_m35p1 11.554054054 12.77027027 -35.6099 -34.6209
KIDS_13p4_m35p1 12.77027027 13.9864864865 -35.6099 -34.6209
KIDS_14p6_m35p1 13.9864864865 15.202702703 -35.6099 -34.6209
KIDS_15p8_m35p1 15.202702703 16.418918919 -35.6099 -34.6209
KIDS_17p0_m35p1 16.418918919 17.635135135 -35.6099 -34.6209
KIDS_18p2_m35p1 17.635135135 18.851351351 -35.6099 -34.6209
KIDS_19p5_m35p1 18.851351351 20.0675675675 -35.6099 -34.6209
KIDS_20p7_m35p1 20.0675675675 21.283783784 -35.6099 -34.6209
KIDS_21p9_m35p1 21.283783784 22.5 -35.6099 -34.6209
KIDS_23p1_m35p1 22.5 23.716216216 -35.6099 -34.6209
KIDS_24p3_m35p1 23.716216216 24.9324324325 -35.6099 -34.6209
KIDS_25p5_m35p1 24.9324324325 26.148648649 -35.6099 -34.6209
KIDS_26p8_m35p1 26.148648649 27.364864865 -35.6099 -34.6209
KIDS_28p0_m35p1 27.364864865 28.581081081 -35.6099 -34.6209
KIDS_29p2_m35p1 28.581081081 29.797297297 -35.6099 -34.6209
KIDS_30p4_m35p1 29.797297297 31.0135135135 -35.6099 -34.6209
KIDS_31p6_m35p1 31.0135135135 32.22972973 -35.6099 -34.6209
KIDS_32p8_m35p1 32.22972973 33.445945946 -35.6099 -34.6209
KIDS_34p1_m35p1 33.445945946 34.662162162 -35.6099 -34.6209
KIDS_35p3_m35p1 34.662162162 35.878378378 -35.6099 -34.6209
KIDS_36p5_m35p1 35.878378378 37.0945945945 -35.6099 -34.6209
KIDS_37p7_m35p1 37.0945945945 38.310810811 -35.6099 -34.6209
KIDS_38p9_m35p1 38.310810811 39.527027027 -35.6099 -34.6209
KIDS_40p1_m35p1 39.527027027 40.743243243 -35.6099 -34.6209
KIDS_41p4_m35p1 40.743243243 41.9594594595 -35.6099 -34.6209
KIDS_42p6_m35p1 41.9594594595 43.175675676 -35.6099 -34.6209
KIDS_9p6_m34p1 9 10.2 -34.6209 -33.6319
KIDS_26p4_m34p1 25.8 27 -34.6209 -33.6319
KIDS_27p6_m34p1 27 28.2 -34.6209 -33.6319
KIDS_39p6_m34p1 39 40.2 -34.6209 -33.6319
KIDS_7p1_m33p1 6.534653465 7.722772277 -33.6319 -32.6429
KIDS_23p8_m33p1 23.168316832 24.3564356435 -33.6319 -32.6429
KIDS_25p0_m33p1 24.3564356435 25.544554455 -33.6319 -32.6429
KIDS_26p1_m33p1 25.544554455 26.732673267 -33.6319 -32.6429
KIDS_27p3_m33p1 26.732673267 27.920792079 -33.6319 -32.6429
KIDS_28p5_m33p1 27.920792079 29.108910891 -33.6319 -32.6429
KIDS_11p8_m32p1 11.176470588 12.3529411765 -32.6429 -31.65385
KIDS_22p4_m32p1 21.764705882 22.9411764705 -32.6429 -31.65385
KIDS_23p5_m32p1 22.9411764705 24.117647059 -32.6429 -31.65385
KIDS_25p9_m32p1 25.294117647 26.470588235 -32.6429 -31.65385
KIDS_27p1_m32p1 26.470588235 27.6470588235 -32.6429 -31.65385
KIDS_28p2_m32p1 27.6470588235 28.823529412 -32.6429 -31.65385
KIDS_338p8_m32p1 338.235294118 339.411764706 -32.6429 -31.65385
KIDS_340p0_m32p1 339.411764706 340.588235294 -32.6429 -31.65385
KIDS_343p5_m32p1 342.94117647 344.117647059 -32.6429 -31.65385
KIDS_23p3_m31p2 22.718446602 23.883495146 -31.65385 -30.6648
KIDS_25p6_m31p2 25.0485436895 26.213592233 -31.65385 -30.6648
KIDS_26p8_m31p2 26.213592233 27.3786407765 -31.65385 -30.6648
KIDS_28p0_m31p2 27.3786407765 28.54368932 -31.65385 -30.6648
KIDS_340p2_m31p2 339.611650486 340.776699029 -31.65385 -30.6648
KIDS_10p4_m30p2 9.7763578275 10.926517572 -30.6648 -29.6758
KIDS_31p1_m30p2 30.479233227 31.629392971 -30.6648 -29.6758
KIDS_35p7_m30p2 35.0798722045 36.230031949 -30.6648 -29.6758
KIDS_356p5_m30p2 355.974440894 357.124600639 -30.6648 -29.6758
KIDS_28p5_m29p2 27.911392405 29.0506329115 -29.6758 -28.6868
KIDS_30p8_m29p2 30.189873418 31.329113924 -29.6758 -28.6868
KIDS_33p0_m29p2 32.4683544305 33.607594937 -29.6758 -28.6868
KIDS_36p5_m29p2 35.8860759495 37.025316456 -29.6758 -28.6868
KIDS_44p4_m29p2 43.860759494 45 -29.6758 -28.6868
KIDS_49p0_m29p2 48.417721519 49.5569620255 -29.6758 -28.6868
KIDS_2p3_m28p2 1.692789969 2.8213166145 -28.6868 -27.6978
KIDS_3p4_m28p2 2.8213166145 3.94984326 -28.6868 -27.6978
KIDS_10p2_m28p2 9.592476489 10.721003135 -28.6868 -27.6978
KIDS_23p7_m28p2 23.134796238 24.263322884 -28.6868 -27.6978
KIDS_24p8_m28p2 24.263322884 25.39184953 -28.6868 -27.6978
KIDS_26p0_m28p2 25.39184953 26.5203761755 -28.6868 -27.6978
KIDS_27p1_m28p2 26.5203761755 27.648902821 -28.6868 -27.6978
KIDS_28p2_m28p2 27.648902821 28.777429467 -28.6868 -27.6978
KIDS_29p3_m28p2 28.777429467 29.905956113 -28.6868 -27.6978
KIDS_35p0_m28p2 34.420062696 35.548589342 -28.6868 -27.6978
KIDS_38p4_m28p2 37.805642633 38.934169279 -28.6868 -27.6978
KIDS_42p9_m28p2 42.319749216 43.448275862 -28.6868 -27.6978
KIDS_330p7_m28p2 330.094043887 331.222570533 -28.6868 -27.6978
KIDS_341p9_m28p2 341.379310345 342.50783699 -28.6868 -27.6978
KIDS_344p2_m28p2 343.636363636 344.764890282 -28.6868 -27.6978
KIDS_347p6_m28p2 347.021943574 348.150470219 -28.6868 -27.6978
KIDS_357p7_m28p2 357.178683385 358.307210031 -28.6868 -27.6978
KIDS_1p1_m27p2 0.5607476635 1.6822429905 -27.6978 -26.7088
KIDS_2p2_m27p2 1.6822429905 2.8037383175 -27.6978 -26.7088
KIDS_3p4_m27p2 2.8037383175 3.9252336445 -27.6978 -26.7088
KIDS_4p5_m27p2 3.9252336445 5.046728972 -27.6978 -26.7088
KIDS_5p6_m27p2 5.046728972 6.1682242995 -27.6978 -26.7088
KIDS_6p7_m27p2 6.1682242995 7.2897196265 -27.6978 -26.7088
KIDS_7p9_m27p2 7.2897196265 8.4112149535 -27.6978 -26.7088
KIDS_9p0_m27p2 8.4112149535 9.5327102805 -27.6978 -26.7088
KIDS_10p1_m27p2 9.5327102805 10.6542056075 -27.6978 -26.7088
KIDS_11p2_m27p2 10.6542056075 11.7757009345 -27.6978 -26.7088
KIDS_12p3_m27p2 11.7757009345 12.8971962615 -27.6978 -26.7088
KIDS_13p5_m27p2 12.8971962615 14.0186915885 -27.6978 -26.7088
KIDS_14p6_m27p2 14.0186915885 15.1401869155 -27.6978 -26.7088
KIDS_15p7_m27p2 15.1401869155 16.2616822425 -27.6978 -26.7088
KIDS_16p8_m27p2 16.2616822425 17.38317757 -27.6978 -26.7088
KIDS_17p9_m27p2 17.38317757 18.5046728975 -27.6978 -26.7088
KIDS_19p1_m27p2 18.5046728975 19.6261682245 -27.6978 -26.7088
KIDS_20p2_m27p2 19.6261682245 20.7476635515 -27.6978 -26.7088
KIDS_21p3_m27p2 20.7476635515 21.8691588785 -27.6978 -26.7088
KIDS_22p4_m27p2 21.8691588785 22.9906542055 -27.6978 -26.7088
KIDS_23p6_m27p2 22.9906542055 24.1121495325 -27.6978 -26.7088
KIDS_24p7_m27p2 24.1121495325 25.2336448595 -27.6978 -26.7088
KIDS_25p8_m27p2 25.2336448595 26.3551401865 -27.6978 -26.7088
KIDS_26p9_m27p2 26.3551401865 27.476635514 -27.6978 -26.7088
KIDS_28p0_m27p2 27.476635514 28.5981308415 -27.6978 -26.7088
KIDS_29p2_m27p2 28.5981308415 29.7196261685 -27.6978 -26.7088
KIDS_30p3_m27p2 29.7196261685 30.8411214955 -27.6978 -26.7088
